what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348774472083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348774476051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348774488520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348774495426
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348774500645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348774510707
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1348774530941
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348774545566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774619878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774619893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774619987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774621050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774623721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774674283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774678111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774678111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774678471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774683486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348774746095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348774748517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348774785422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348774798547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348774825250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348774827438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348774837641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348774845719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348774854515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348774857000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348774861984
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1348774870218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774874531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774884781
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1348774891062
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1348774895671
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1348774895687
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1348774899921
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1348774905358
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1348774905421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774914890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774924233
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1348774924327
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1348774938858
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1348774938889
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1348774942530
opened,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1348774942608
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1348774944155
closed,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1348774944483
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1348774948155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774953014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774953014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774953108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774954827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774955202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348774964967
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1348774966467
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348774969826
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1348774995232
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348774997857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348775040622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775044341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775044341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775044419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775046841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775048685
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775048685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775048747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775184058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348775210261
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348775221995
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348775265041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348775272026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775275901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775275916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775275979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775277072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348775296010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348775309275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348775319291
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348775376696
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1348775381680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348775383774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348775385665
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348775390883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348775413711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348775418414
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348775422289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348775451492
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348775454414
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348775459851
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348775462945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348775465648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348775468414
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348775473820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775482070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775517772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775521913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775521929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775522007
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775529210
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348775563694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348775581600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775594725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775594725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775594771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775608912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775622693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775622693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775622755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775639943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775653021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775653036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775653114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775739848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775756207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775756207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775756285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775761426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775770285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775770285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348775770379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776104624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776155249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776265732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776302622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776316012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776345324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776355730
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776408324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348776507557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776563509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776565150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776601930
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1348776640414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776657570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776658883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776659773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776662539
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348776665992
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1348776719132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776722054
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348776734585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348776734788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1348776734835
